mean,std,variance,skewness,kurtosis,central_moment,pathology
1.3125653,18.247776,332.98135,0.0037514716,-2.999986,84036.125,benign
1.1308025,16.943316,287.07593,0.0040461156,-2.9999835,72555.11,benign
1.9976659,22.481417,505.41412,0.0030284724,-2.9999907,126861.305,malignant
0.015834836,2.009386,4.0376325,0.03441821,-2.9988153,1029.4683,benign
2.2060142,23.614977,557.6671,0.0028783143,-2.9999917,139744.69,malignant
0.017185677,2.0933352,4.382052,0.03303759,-2.9989085,1117.2727,benign
0.0050281235,1.1323189,1.2821461,0.06108291,-2.9962687,326.93436,benign
0.49996054,11.28007,127.23999,0.006107838,-2.9999626,32318.969,benign
0.003977471,1.0070944,1.0142392,0.068678685,-2.9952831,258.62292,benign
0.8862818,15.007211,225.21637,0.004576951,-2.999979,57030.965,benign
0.24418293,7.8871427,62.207016,0.00875293,-2.9999232,15832.41,malignant
0.16877985,6.5582294,43.010376,0.010532797,-2.999889,10953.128,malignant
0.2054964,7.2359767,52.359356,0.009543506,-2.999909,13330.116,malignant
0.19407055,7.0320926,49.450325,0.009821087,-2.9999034,12590.639,malignant
0.58414406,12.190797,148.61552,0.0056477995,-2.999968,37723.332,benign
0.36924812,9.69649,94.02193,0.0071126497,-2.9999495,23906.156,benign
0.011369563,1.702677,2.8991091,0.04061951,-2.99835,739.207,benign
0.00011256992,0.16942644,0.02870532,0.40824798,-2.8333335,7.31985,malignant
0.011688511,1.7263932,2.9804335,0.040061403,-2.998395,759.94086,benign
9.3808274e-05,0.15466447,0.0239211,0.44721338,-2.8000002,6.0998764,malignant
0.011463371,1.7096866,2.9230282,0.040452946,-2.9983635,745.30524,benign
0.008574076,1.4786195,2.1863155,0.04677567,-2.997812,557.473,benign
0.023827301,2.4648314,6.0753937,0.028056748,-2.9992127,1548.9358,benign
0.000544088,0.37248105,0.13874213,0.18569475,-2.9655173,35.379093,benign
0.84555024,14.65948,214.90036,0.0046870257,-2.999978,54436.17,benign
0.7698657,13.990106,195.72305,0.0049142176,-2.9999757,49608.02,benign
0.15784179,6.342298,40.224743,0.010892335,-2.9998813,10244.612,malignant
0.31082433,8.897392,79.1636,0.007755019,-2.9999397,20137.506,malignant
0.0002439015,0.2493889,0.062194824,0.27734968,-2.923077,15.859649,benign
9.3808274e-05,0.15466447,0.0239211,0.44721338,-2.8000002,6.0998764,benign
0.0003377098,0.29345506,0.086115874,0.23570183,-2.9444447,21.959492,benign
0.00013133159,0.18300146,0.033489536,0.3779642,-2.857143,8.539823,benign
0.0007879895,0.44825962,0.20093669,0.15430264,-2.9761906,51.238537,benign
0.032176234,2.864246,8.203904,0.024142694,-2.999417,2091.4678,benign
